ID,isocountrycode,rd2015,rd2014,rd2013,rd2012,rd2011,ns2015,ns2014,ns2013,ns2012,ns2011,emp2015,emp2014,emp2013,emp2012,emp2011,pubs.2011,pubs.2012,pubs.2013,pubs.2014,pubs.2015
ID0173,US,24.60301693,43.10494751,49.43659,55.491264,46.842145,20.9520834,5.98216597,5.184541,1.631499,3.444275,126,127,129,157,153,13,8,13,13,17
ID0174,SE,57.5212806,72.99420063,49.194712,30.795924,14.886791,1.597348841,2.222815702,1.1622,0.203182,0.086014,240,246,166,115,68,18,29,34,51,45
ID0175,JP,40.69429257,39.56226581,48.946685,44.236565,38.445321,1139.729382,1107.350914,1054.915372,912.675259,831.281081,4776,4616,4495,4360,4057,8,8,9,4,6
ID0176,US,51.19283881,54.74587918,48.927563,38.94279,30.922341,546.5886942,524.3277487,564.292669,444.61244,359.658482,2206,2038,1649,1325,1169,23,43,59,78,83
ID0177,US,NA,NA,48.709304,52.260171,NA,NA,NA,0.937568,13.984483,119.533757,NA,NA,71,219,220,18,25,17,12,10
ID0178,JP,40.16409586,52.43979993,48.512858,43.396456,45.393437,755.5642462,646.5555364,612.494632,599.466055,605.959685,1451,1503,1540,1666,1668,12,17,30,14,17
ID0179,US,195.2368703,99.85140693,48.252485,42.704664,29.530854,NA,9.879637045,NA,NA,NA,309,136,74,61,57,0,0,0,1,0
ID0180,US,53.70244802,58.63029807,48.196651,22.001306,37.216301,27.79060513,26.80735248,59.019652,20.003626,9.222682,228,325,310,293,266,12,13,12,12,15
ID0181,US,170.6896865,101.2893022,47.705026,12.346458,11.991879,29.79988825,36.66233599,34.201292,48.383005,60.007978,369,256,165,129,116,43,58,38,25,39
ID0182,GB,NA,NA,47.651046,44.483066,44.142744,NA,NA,524.209269,438.590233,368.452861,NA,NA,876,893,853,7,16,4,19,10
ID0183,US,68.66148873,73.08756085,47.584658,34.05917,23.415997,3.973608312,2.600248196,2.98093,8.122689,6.71815,197,163,122,109,103,9,14,13,13,17
ID0184,IN,78.31643467,57.2532111,47.215307,41.466858,26.696845,522.644144,515.5061817,565.866741,670.164727,509.652129,7376,6834,8600,8600,7900,10,3,10,4,7
ID0185,US,37.79206201,44.26077438,47.164819,40.807774,35.33609,1312.22618,1334.082383,1229.984079,1124.653063,1082.24787,12200,11700,11400,11600,11500,13,8,10,3,3
ID0186,CN,98.37577748,66.30752428,47.131355,38.849215,24.056242,1018.802052,1179.840411,1002.955634,675.372935,599.330315,9293,8854,8428,7680,3867,16,14,19,14,11
ID0187,ES,NA,56.334,47.099,43.906,59.039,NA,149.652,141.824,138.229,152.486,NA,665,628,640,668,8,10,18,16,12
ID0188,DE,81.4,57.1,46.7,33.065,29.744,589.6,582,500.8,439.967,422.027,2271,2158,1997,1727,1662,6,7,5,13,19
ID0189,US,43.36018952,40.65262229,46.356321,34.361541,27.930535,208.4389662,199.9174477,189.685307,170.526435,149.45327,802,752,684,612,511,1,0,0,1,5
ID0190,KR,53.55989488,40.95702667,45.615872,45.211888,47.363723,309.6665222,292.4850723,286.735819,278.946311,262.108049,NA,NA,NA,NA,NA,15,25,21,23,27
ID0191,JP,59.55413422,56.09646968,45.365892,47.087427,41.110257,213.1940233,203.2997747,203.926158,183.439891,186.490451,663,649,639,641,644,11,3,7,4,12
ID0192,US,58.25251961,60.79402972,45.180191,43.738671,32.243493,357.1005046,355.46753,322.432754,333.716925,311.677914,2967,2915,2697,2295,1908,10,7,8,12,9
ID0193,DK,52.3,44.1,45,46.6,40,858.6,756.2,738.4,698.7,635.6,2573,2510,2510,2425,2411,19,15,19,23,25
ID0194,US,84.94530659,37.05679697,43.735771,47.932711,40.25379,43.50811176,62.02671798,43.431224,25.766805,11.860634,385,317,307,280,245,22,18,20,22,32
ID0195,US,44.93150505,46.18014251,43.651658,36.686246,31.10797,659.0041076,660.1214568,680.522822,646.791402,527.767398,3225,3383,3782,3563,2337,8,11,8,12,14
ID0196,CH,33.01998376,42.5256997,43.524528,42.899054,39.431699,358.1184246,324.951846,315.821234,318.111656,306.612371,1368,1261,1184,1185,1107,5,7,6,5,1
ID0197,US,NA,46.84216884,43.198464,38.15677,40.265391,NA,849.177467,798.702797,710.137789,662.653921,NA,3327,3216,2979,2705,5,4,4,10,10
ID0198,CH,48.88294733,43.8875404,43.042494,47.688688,56.531271,42.01330709,34.56697466,33.307911,47.075658,54.246241,250,230,200,200,300,24,17,14,14,12
